result_id,triad_id,distance_hist1_to_centroid,distance_hist2_to_centroid,distance_hist3_to_centroid,mean_historian_distance,distance_abstract1_to_centroid,distance_abstract2_to_centroid,distance_abstract3_to_centroid,mean_abstract_distance,distance_final_to_centroid,converged,convergence_delta,abstract_distance_variance,mean_pairwise_abstract_similarity,bias_weight_1,bias_weight_2,bias_weight_3,dominant_historian_position,bias_score,created_at
21,21,0.13333487510681152,0.15956342220306396,0.12479090690612793,0.13922973473866782,0.4152013063430786,0.4489883780479431,0.37310945987701416,0.4124330480893453,0.3779412508010864,False,0.03449179728825885,0.0009634333306781034,0.4496542414029439,0.30390560536563804,0.35213630880915,0.34395808582521203,2,0.018802975475816663,2026-03-13 02:21:27.937061
22,22,0.10633242130279541,0.15078246593475342,0.1642225980758667,0.14044582843780518,0.5168327689170837,0.3890872597694397,0.4147181510925293,0.4402127265930176,0.2995426654815674,False,0.1406700611114502,0.003044805874540183,0.2915146549542745,0.35381719491173824,0.3170363200750114,0.3291464850132504,1,0.020483861578404927,2026-03-13 02:21:28.108888
23,23,0.14679211378097534,0.15628868341445923,0.12327444553375244,0.14211841424306235,0.4000799059867859,0.4658191204071045,0.4428257942199707,0.43624160687128705,0.3571052551269531,False,0.07913635174433392,0.0007419498136213873,0.42423959573109943,0.3304583930256169,0.3416881034981758,0.32785350347620723,2,0.008354770164842484,2026-03-13 02:21:28.243012
24,24,0.18201160430908203,0.11214900016784668,0.13658368587493896,0.14358143011728922,0.3971654176712036,0.5524003207683563,0.35013508796691895,0.4332336088021596,0.35476839542388916,False,0.07846521337827045,0.007468994605766196,0.4185873468716939,0.3645234555478347,0.2981982851280335,0.33727825932413186,1,0.031190122214501403,2026-03-13 02:21:28.433901
25,25,0.16268253326416016,0.14590787887573242,0.12559521198272705,0.14472854137420654,0.3434739112854004,0.45712268352508545,0.448150634765625,0.4162490765253703,0.3177022337913513,False,0.09854684273401898,0.0026615286143428173,0.4097445209821065,0.33907682641594294,0.36243100457644306,0.2984921690076139,2,0.029097671243109746,2026-03-13 02:21:28.543356
26,26,0.09971797466278076,0.11233007907867432,0.22689610719680786,0.1463147203127543,0.34238678216934204,0.4429049491882324,0.5285674333572388,0.43795305490493774,0.30841052532196045,False,0.1295425295829773,0.005789466441288009,0.4381226897239685,0.39140394365467385,0.3685602393688447,0.24003581697648146,1,0.05807061032134053,2026-03-13 02:21:28.734989
27,27,0.20637106895446777,0.10459232330322266,0.13209658861160278,0.1476866602897644,0.445523202419281,0.4469583034515381,0.3910903334617615,0.42785727977752686,0.38320523500442505,False,0.04465204477310181,0.0006762474231886509,0.3024822821219762,0.319316621121683,0.33233275553474567,0.3483506233435713,3,0.015017290010237994,2026-03-13 02:21:28.933568
28,28,0.19434469938278198,0.12244915962219238,0.12814491987228394,0.14831292629241943,0.37146592140197754,0.36060547828674316,0.43972504138946533,0.3905988136927287,0.2051650881767273,True,0.1854337255160014,0.0012263513279656814,0.41601847608884174,0.363078927454167,0.3488374637736169,0.28808360877221617,1,0.029745594120833663,2026-03-13 02:21:29.119219
29,29,0.12500011920928955,0.15281474590301514,0.17100799083709717,0.14960761864980063,0.36878854036331177,0.3737739324569702,0.4624824523925781,0.40168164173762005,0.3152185082435608,False,0.08646313349405926,0.0018525116438712847,0.3542912006378174,0.3177516584390161,0.34733833102896905,0.3349100105320148,2,0.014004997695635735,2026-03-13 02:21:29.267144
30,30,0.11768728494644165,0.23306804895401,0.099850594997406,0.1502019762992859,0.28467774391174316,0.44545769691467285,0.4653494358062744,0.3984949588775635,0.2878451347351074,False,0.11064982414245605,0.006543126090643152,0.38090850909550983,0.3293404881207615,0.3504592997615925,0.32020021211764604,2,0.0171259664282592,2026-03-13 02:21:29.417266
31,31,0.15774059295654297,0.08349400758743286,0.21194279193878174,0.15105913082758585,0.34328484535217285,0.3836268186569214,0.5555570721626282,0.42748957872390747,0.2849578261375427,False,0.14253175258636475,0.008471887239525225,0.3655049353837967,0.367435449431261,0.3664518428678387,0.26611270770090034,1,0.03410211609792768,2026-03-13 02:21:29.570036
32,32,0.11891520023345947,0.18778419494628906,0.14805138111114502,0.1515835920969645,0.35625725984573364,0.3061380386352539,0.5314036905765533,0.3979329963525136,0.28636014461517334,False,0.11157285173734027,0.00932586916411439,0.3882690866788228,0.3648352261023354,0.2911746961245217,0.34399007777314294,1,0.03150189276900206,2026-03-13 02:21:29.695932
33,33,0.16761326789855957,0.1299687623977661,0.15982449054718018,0.1524688402811686,0.45887911319732666,0.5588617920875549,0.3971749544143677,0.47163861989974976,0.44105231761932373,False,0.030586302280426025,0.004438508085103858,0.4266204039255778,0.382854566009535,0.3395961079966134,0.27754932599385157,1,0.049521232676201676,2026-03-13 02:21:29.811329
34,34,0.16822105646133423,0.18197780847549438,0.10901027917861938,0.15306971470514932,0.48441624641418457,0.5686092972755432,0.36731988191604614,0.4734484752019246,0.34145188331604004,False,0.13199659188588458,0.006813050791976927,0.3932350277900696,0.3707225591603727,0.28142485062389555,0.3478525902157316,1,0.03738922582703941,2026-03-13 02:21:29.969724
35,35,0.20804977416992188,0.10653960704803467,0.14882314205169678,0.15447084108988443,0.42586982250213623,0.3147242069244385,0.649225115776062,0.4632730484008789,0.29070568084716797,False,0.17256736755371094,0.01934797699090988,0.21845897535483041,0.33338474410096847,0.33349904341691156,0.3331162124821199,2,0.00016571008357824102,2026-03-13 02:21:30.095413
36,36,0.15101206302642822,0.10294556617736816,0.21274828910827637,0.15556863943735758,0.170171856880188,0.2882019281387329,0.42504769563674927,0.2944738268852234,0.17606312036514282,True,0.11841070652008057,0.010846617220586552,0.519514004389445,0.3474323466576901,0.34424700353090426,0.3083206498114056,1,0.014099013324356813,2026-03-13 02:21:30.226584
37,37,0.16208040714263916,0.17764830589294434,0.1313084363937378,0.1570123831431071,0.236813485622406,0.49720096588134766,0.29946112632751465,0.3444918592770894,0.24173879623413086,False,0.10275306304295856,0.012314156767588083,0.489656925201416,0.359775465841695,0.2711345366838036,0.3690899974745014,3,0.03575666414116807,2026-03-13 02:21:30.375850
