authorId,authorName,matched_papers,total_topic_citations,first_author_papers,last_author_papers,score,rank
https://openalex.org/A5053296320,Steven Mintz,1,309,0,0,14.473144594958384,333
https://openalex.org/A5063640151,Dimitri Gutas,1,153,1,1,14.46019956594715,334
https://openalex.org/A5048594121,Matthew B. Roller,1,153,1,1,14.46019956594715,335
https://openalex.org/A5071925869,Elizabeth A. Clark,1,153,1,1,14.46019956594715,336
https://openalex.org/A5063835150,Brian C. Schmidt,1,151,1,1,14.434055402812444,337
https://openalex.org/A5043591621,Dan Stone,1,150,1,1,14.42085403474974,338
https://openalex.org/A5104356939,Maryinez Lyons,1,150,1,1,14.42085403474974,339
https://openalex.org/A5053785877,Martin A. Lee,1,212,1,0,14.415731511978796,340
https://openalex.org/A5007669104,Bruce Shlain,1,212,0,1,14.415731511978796,341
https://openalex.org/A5111835636,Keith Bradley,1,212,0,1,14.415731511978796,342
https://openalex.org/A5090792062,Robert Rousselle,1,212,1,0,14.415731511978796,343
https://openalex.org/A5056436366,Elton Barker,1,149,1,1,14.407564949312402,344
https://openalex.org/A5048516361,Nancy F. Cott,1,149,1,1,14.407564949312402,345
https://openalex.org/A5024480160,Sohan Modgil,1,211,0,1,14.40631972990397,346
https://openalex.org/A5011902848,Bruce Dain,1,210,1,0,14.396863447512079,347
https://openalex.org/A5038603404,York W. Bradshaw,1,210,1,0,14.396863447512079,348
https://openalex.org/A5108796315,John Ernest,1,210,0,1,14.396863447512079,349
https://openalex.org/A5044368570,Hilary Beckles,1,147,1,1,14.38071890864812,350
https://openalex.org/A5072887705,Mark Blaug,1,146,1,1,14.367159534677363,351
https://openalex.org/A5060755870,Gavin Kelly,1,146,1,1,14.367159534677363,352
https://openalex.org/A5108859686,P. C. Kemeny,1,205,1,0,14.348899518139108,353
https://openalex.org/A5084693409,James G. Spady,1,202,1,0,14.31955913864352,354
https://openalex.org/A5050453376,Christopher A. Waterman,1,202,0,1,14.31955913864352,355
https://openalex.org/A5009910272,Christopher Baron,1,142,1,1,14.311983621639705,356
https://openalex.org/A5006911142,Ulrich Middeldorf,1,201,1,0,14.309682575362356,357
https://openalex.org/A5005232948,Jack Hayward,1,141,1,1,14.297948476322413,358
https://openalex.org/A5057814410,Amy Fitzgerald,1,141,1,1,14.297948476322413,359
https://openalex.org/A5065183527,Kurt Danziger,1,141,1,1,14.297948476322413,360
https://openalex.org/A5050900857,Richard M. Eaton,1,141,1,1,14.297948476322413,361
https://openalex.org/A5029140227,Robert Shell,1,199,1,0,14.289781913656018,362
https://openalex.org/A5081130115,Theodore Evergates,1,199,1,0,14.289781913656018,363
https://openalex.org/A5110826346,Arthur Goldhammer,1,199,0,1,14.289781913656018,364
https://openalex.org/A5014339561,Roger B. Beck,1,199,0,1,14.289781913656018,365
https://openalex.org/A5113727076,Alan Holland,1,139,1,1,14.269579206338499,366
https://openalex.org/A5102116248,William R. Thompson,1,138,1,1,14.255242227381274,367
https://openalex.org/A5035514416,Liv Mariah Yarrow,1,138,1,1,14.255242227381274,368
https://openalex.org/A5039198367,Stephen H. Norwood,1,195,1,0,14.249376499020979,369
https://openalex.org/A5074368414,Michael Hau,1,137,1,1,14.240801731434301,370
https://openalex.org/A5091256291,David Armstrong,1,137,1,1,14.240801731434301,371
https://openalex.org/A5054291620,Thomas Lindner,1,137,1,1,14.240801731434301,372
https://openalex.org/A5064771923,Donald Quataert,1,194,0,1,14.239146297687439,373
https://openalex.org/A5112005234,Roger Owen,1,194,1,0,14.239146297687439,374
https://openalex.org/A5020829765,Gavin R. G. Hambly,1,193,1,0,14.228863498686602,375
